DOCID,docid,title,titleEng,directors,nation,plots,runtime,rating,genre,repRlsDate,keywords,posters,stlls,vods,audiAcc
K06627,, 왕후심청,Empress Chung (Wang-hu Shim-cheong),"{'director': [{'directorNm': '넬슨 신', 'directorEnNm': 'Nelson Shin', 'directorId': '00037130'}]}",대한민국,"{'plot': [{'plotLang': '한국어', 'plotText': ""충신이자 훌륭한 재상이었던 심학구의 외동딸로 태어난 청이. 그러나 아버지 심학구 대감이이러니 대감을 비롯한 역적 일당의 음모에 가담하지 않은 데 대한 보복으로 집안은 하루아침에 몰락하고, 목숨이 위협받는 상황에서 심학구도 눈이 멀게 된다.  그로부터 14년 후, 아름답고 착한 소녀로 자라난 청이는 항상 듬직한 단추(삽살개), 말썽 많고 수다스러운 가희(거위), 졸린 눈을 껌뻑이는 터벙이(거북이)와 함께 앞을 못 보는 아버지를 모시며 가난하지만 행복한 나날을 보낸다. 그러던 중 공양미 삼백석이 있으면 아버지의 눈을 뜨게 할 수 있다는 얘기를 들은 청이는 바다에 사는 인당수 괴물의 산제물이 되기로 결심하고 삼백석에 팔려간다. 괴물이 기다리고 있는 바다로 몸을 던진 청이는 위기끝에 바다 물고기들의 도움으로 살아남는다. 그리고 용왕의 도움으로 연꽃에 실려 세상으로 돌아온다. 궁궐로 보내진 연꽃 속의 '청이'는 '심학구'를 찾기 위한 맹인 잔치를 연다. 어느 마을 주막에서 뒤늦게 맹인 잔치 소식을 들은 '심학구'는 '청이'를 만나기 위해 한양으로 급하게 발길을 돌리는데...""}, {'plotLang': '영어', 'plotText': ""SHIM Hak-ku, who was in the government service, loses his eyesight after his family is ruined by conspirators. Now Shim Hak-ku, blind and very poor, raises his daughter Chung by himself. The main character, SHIM Chung has grown to be a beautiful and strong girl with animal friends, Dan-chu (a dog), Gai (a goose), and Teo-bong (a turtle) in spite of poor conditions. One day, she decides to sacrifice herself to the sea monster, Indangsu and plunges into the sea for 300 sacks of rice to get her father's eyesight back. Then she has a narrow escape from death and comes back to the land after spending some time in the palace under the sea. Finally, she meets her father again after going through hard times, and due to Chung's love for her father, Shim Hak-ku gets his eyesight back.  (KOFIC)""}]}",94,전체관람가,"시대극/사극,드라마,가족,판타지",20050812,"거북이,거위,고전소설원작,공양미,맹인,삽살개,심봉사,심청,연꽃,용왕,인간제물,제물,전래동화원작,심청전",http://file.koreafilm.or.kr/thm/02/00/03/32/tn_DPK06627A.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/22/40/tn_DSKB018211.JPG|http://file.koreafilm.or.kr/thm/01/copy/00/22/40/tn_DSKB018212.JPG|http://file.koreafilm.or.kr/thm/01/copy/00/22/40/tn_DSKB018213.JPG|http://file.koreafilm.or.kr/thm/01/copy/00/22/40/tn_DSKB018214.JPG|http://file.koreafilm.or.kr/thm/01/copy/00/22/40/tn_DSKB018215.JPG|http://file.koreafilm.or.kr/thm/01/copy/00/22/40/tn_DSKB018216.JPG|http://file.koreafilm.or.kr/thm/01/copy/00/22/40/tn_DSKB018217.JPG|http://file.koreafilm.or.kr/thm/01/copy/00/22/40/tn_DSKB018218.JPG|http://file.koreafilm.or.kr/thm/01/copy/00/22/40/tn_DSKB018219.JPG|http://file.koreafilm.or.kr/thm/01/copy/00/22/40/tn_DSKB018220.JPG,"{'vod': [{'vodClass': '', 'vodUrl': ''}]}",
F38500,, 스파이더맨: 홈 커밍,Spider-Man: Homecoming,"{'director': [{'directorNm': '존 왓츠', 'directorEnNm': '', 'directorId': ''}]}",미국,"{'plot': [{'plotLang': '한국어', 'plotText': '마블 히어로의 세대교체!“어벤져스가 되려면 시험 같은 거 봐요?”‘시빌 워’ 당시 ‘토니 스타크’(로버트 다우니 주니어)에게 발탁되어 대단한 활약을 펼쳤던 스파이더맨 ‘피터 파커’(톰 홀랜드). 그에게 새로운 수트를 선물한 ‘토니 스타크’는 위험한 일은 하지 말라며 조언한다. 하지만 허세와 정의감으로 똘똘 뭉친 ‘피터 파커’는 세상을 위협하는 강력한 적 ‘벌처’(마이클 키튼)에 맞서려 하는데…아직은 어벤져스가 될 수 없는 스파이더맨숙제보다 세상을 구하고 싶은 스파이더맨그는 과연 진정한 히어로로 거듭날 수 있을 것인가!'}]}",133,12세관람가,"액션,SF,어드벤처",20170705,"어벤져스,거미줄,슈퍼히어로,마블코믹스",http://file.koreafilm.or.kr/thm/02/00/04/44/tn_DPF013550.jpg,,"{'vod': [{'vodClass': '예고편()', 'vodUrl': 'https://www.kmdb.or.kr/db/kor/detail/movie/F/38500/own/videoData'}]}",
B07660,, 요요마와 실크로드 앙상블,,"{'director': [{'directorNm': '모건 내쉬빌', 'directorEnNm': 'Morgan Neville', 'directorId': '00174637'}]}",미국,"{'plot': [{'plotLang': '한국어', 'plotText': '세계적 첼리스트 요요마와 젊은 음악가들이 모여 음악을 통해 이해와 공감을 실천하려 한다는 내용의 다큐멘터리 영화'}]}",96,전체관람가,뮤직,20170112,,http://file.koreafilm.or.kr/thm/02/00/04/34/tn_DPB000483.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/47/66/tn_DSBT007781.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/66/tn_DSBT007782.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/66/tn_DSBT007783.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/66/tn_DSBT007784.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/66/tn_DSBT007785.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/66/tn_DSBT007786.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/66/tn_DSBT007787.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/66/tn_DSBT007788.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/66/tn_DSBT007789.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/66/tn_DSBT007790.jpg,"{'vod': [{'vodClass': '예고편(메인)', 'vodUrl': 'https://www.kmdb.or.kr/db/kor/detail/movie/B/07660/own/videoData'}, {'vodClass': '기타(스페셜 피쳐 영상)', 'vodUrl': 'https://www.kmdb.or.kr/db/kor/detail/movie/B/07660/own/videoData'}]}",
B07665,, 페기 구겐하임: 아트 애딕트,,"{'director': [{'directorNm': '리사 이모르디노 브릴랜드', 'directorEnNm': '', 'directorId': ''}]}","미국,이탈리아,영국","{'plot': [{'plotLang': '한국어', 'plotText': '“예술과 사랑은 내게 자유이자 해방이었어요!”뉴욕 부호 가문의 상속녀에서 파리의 보헤미안, 런던의 컬렉터, 베네치아의 러버로 변신을 거듭하는 페기 구겐하임의 흥미진진한 라이프 스토리'}]}",96,12세관람가,"전기,역사",20170209,,http://file.koreafilm.or.kr/thm/02/00/04/36/tn_DPB000485.jpg|http://file.koreafilm.or.kr/thm/02/00/04/35/tn_DPB000484.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/47/72/tn_DSBT007792.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/72/tn_DSBT007793.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/72/tn_DSBT007794.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/72/tn_DSBT007795.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/72/tn_DSBT007796.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/72/tn_DSBT007791.jpg,"{'vod': [{'vodClass': '기타(감독 인터뷰)', 'vodUrl': 'https://www.kmdb.or.kr/db/kor/detail/movie/B/07665/own/videoData'}, {'vodClass': '예고편(티저)', 'vodUrl': 'https://www.kmdb.or.kr/db/kor/detail/movie/B/07665/own/videoData'}, {'vodClass': '기타(감독 인터뷰 2)', 'vodUrl': 'https://www.kmdb.or.kr/db/kor/detail/movie/B/07665/own/videoData'}, {'vodClass': '예고편(메인)', 'vodUrl': 'https://www.kmdb.or.kr/db/kor/detail/movie/B/07665/own/videoData'}]}",
F38328,, 극장판 도라에몽:신 진구의 버스 오브 재팬,,"{'director': [{'directorNm': '야쿠와 신노스케', 'directorEnNm': 'Yakuwa Shinnosuke', 'directorId': '00186023'}]}",일본,"{'plot': [{'plotLang': '한국어', 'plotText': '도라에몽과 친구들의 사상 최대 가출?!7만년 전 원시시대로 떠나자!가출을 결심한 도라에몽과 친구들은 타임머신을 타고 아무도 없는 7만년 전 원시시대로 떠난다.자연 속에서 신나게 자유를 즐기던 도라에몽과 친구들은 다시 집으로 돌아오지만, 그곳에서 시간의 틈에 빠져 현대로 오게 된 원시인 ‘쿠쿠루’를 만나게 된다. 그러던 중 쿠쿠루의 부족인 태양족이 정령왕 ‘기가좀비’와 어둠족에게 습격 당했다는 소식을 듣게 되고,마침내 도라에몽과 친구들은 쿠쿠루와 함께 원시시대로 돌아가 태양족을 구하기 위해 맞서는데…'}]}",103,전체관람가,"어드벤처,판타지",20161221,,http://file.koreafilm.or.kr/thm/02/00/04/35/tn_DPF013140.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/47/62/tn_DSFT071987.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/62/tn_DSFT071988.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/62/tn_DSFT071989.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/62/tn_DSFT071990.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/62/tn_DSFT071991.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/62/tn_DSFT071992.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/62/tn_DSFT071993.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/62/tn_DSFT071994.jpg,"{'vod': [{'vodClass': '', 'vodUrl': ''}]}",
K15871,, 부릉!부릉!브루미즈: 스피더의 모험일기,Vroom! Vroom! Vroomiz ( bu-leung!bu-leung!beu-lu-mi-jeu: seu-pi-deo-ui mo-heom-il-gi ),"{'director': [{'directorNm': '이영준', 'directorEnNm': 'LEE Young-jun', 'directorId': '00187190'}]}",대한민국,"{'plot': [{'plotLang': '', 'plotText': '신기한 자동차 ‘브루미’ 친구들과의 짜릿한 모험! 안녕? 난 표범 브루미 ‘스피더’야.우리 마을에서는 매일매일 신나는 일들이 펼쳐지지.비행기를 타고 하늘을 날고, 외계인 친구도 만나고!그리고 마을 어딘가에 숨겨진 보물도 찾으러 가자!음, 이건 비밀인데… 산타 할아버지도 만날 수 있어!곧 있을 어린이 경주 대회에도 출전하니까꼭 와서 내가 1등할 수 있게 응원해줘!12월, 우리 ‘브루미즈’ 만나러 오는 거다!'}]}",60,전체관람가,드라마,20161215,"자동차,친구,마을,비밀",http://file.koreafilm.or.kr/thm/02/00/04/34/tn_DPK011965.jpg|http://file.koreafilm.or.kr/thm/02/00/04/34/tn_DPK011967.jpg|http://file.koreafilm.or.kr/thm/02/00/04/34/tn_DPK011971.jpg|http://file.koreafilm.or.kr/thm/02/00/04/34/tn_DPK011969.jpg|http://file.koreafilm.or.kr/thm/02/00/04/34/tn_DPK011970.jpg|http://file.koreafilm.or.kr/thm/02/00/04/34/tn_DPK011966.jpg|http://file.koreafilm.or.kr/thm/02/00/04/34/tn_DPK011968.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/47/59/tn_DSKT273659.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/59/tn_DSKT273660.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/59/tn_DSKT273661.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/59/tn_DSKT273662.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/59/tn_DSKT273663.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/59/tn_DSKT273664.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/59/tn_DSKT273665.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/59/tn_DSKT273666.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/59/tn_DSKT273667.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/59/tn_DSKT273658.jpg,"{'vod': [{'vodClass': '', 'vodUrl': ''}]}",
A06560,, 심청,( sim-cheong ),"{'director': [{'directorNm': '김수기', 'directorEnNm': '', 'directorId': ''}]}",대한민국,"{'plot': [{'plotLang': '한국어', 'plotText': '아버지의 눈을 뜨게 하기 위한 심청의 희생적인 사랑을 담은 발레 공연실황 영화'}]}",89,전체관람가,문화,,심청전,http://file.koreafilm.or.kr/thm/02/00/04/40/tn_DPA000642.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/47/80/tn_DSAT013848.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/80/tn_DSAT013849.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/80/tn_DSAT013850.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/80/tn_DSAT013851.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/80/tn_DSAT013852.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/80/tn_DSAT013853.jpg|http://file.koreafilm.or.kr/thm/01/copy/00/47/80/tn_DSAT013854.jpg,"{'vod': [{'vodClass': '', 'vodUrl': ''}]}",
F38754,, 어쌔신 크리드,Assassin’s Creed,"{'director': [{'directorNm': '저스틴 커젤', 'directorEnNm': 'Justin Kurzel', 'directorId': '00188522'}]}","영국,프랑스,홍콩,미국","{'plot': [{'plotLang': '한국어', 'plotText': ""“원하는 게 뭡니까?”“당신의 과거. 그곳에서 보고 듣고 느끼는 것들은 500년 전 조상의 기억이죠”어린 시절의 트라우마로 암흑의 삶을 살던 사형수 칼럼 린치(마이클 패스벤더 분)는 의문의 조직,  앱스테르고의 과학자 소피아(마리옹 꼬띠아르)에 의해 자신의 유전자에  과거의 비밀이 깃들어 있다는 사실을 깨닫게 된다.    유전자 속에 숨어 있는 기억을 찾아주는 최첨단 기술을 통해 15세기에 살았던 조상 '아귈라'의 모험을  직접 체험하게 된 그는 '아귈라'가 비밀 모임 ‘암살단’에 속해 있었다는 사실까지 알게 된다.    이후, 놀라운 지식과 기술을 축적한 그는 세상을 통제하려는 템플 기사단에 맞서게 되는데...""}]}",108,15세관람가,"액션,어드벤처,판타지,SF",20170111,,http://file.koreafilm.or.kr/thm/02/00/04/35/tn_DPF013169.jpg,,"{'vod': [{'vodClass': '', 'vodUrl': ''}]}",
F38764,, 그로잉 업 3,Lemon Popsicle III,"{'director': [{'directorNm': '보즈 데이비슨', 'directorEnNm': 'Boaz Davidson', 'directorId': '00058765'}]}","이스라엘,서독","{'plot': [{'plotLang': '한국어', 'plotText': '순진한 학생 벤지는 아름다운 니키와 몇번 마주치게 되자 그녀에게 호감을 갖게 된다. 그러나 그의 친구 보비의 여자 친구를 소개 받게 되는데 그녀가 바로 니키라는 것을 알고는 크게 실망한다. 니키와 보비와의 관계는 급속도로 진전해 니키가 임신을 하게 된다. 이 사실을 보비가 모르는체 하자 벤지는 자전거도 팔고 아르바이트를 해서 번돈으로 수술 비용을 마련한다. 수술을 끝내고 니키는 벤지의 순수한 마음에 감동하여 점차 마음을 주게 되었다. 벤지도 모든 것을 이해하고 더욱 니키를 사랑하게 된다. 어느날 니키의 생일 파티에 초대받고서는 선물을 들고 두근거리는 마음으로 니키의 집으로 간다. 그러나 거기에서 니키와 보비가 포옹하고 있는 것을 보게 되자 하늘이 내려앉는 절망감에 빠진다. 처음 이성을 향해 품었던 순수한 사랑이 깨지는 아픔의 눈물을 흘리며 벤지는 어른이 되어간다.'}]}",90,,"코메디,드라마,멜로/로맨스",,,http://file.koreafilm.or.kr/thm/02/00/05/51/tn_DPF020291.jpg,,"{'vod': [{'vodClass': '', 'vodUrl': ''}]}",
F38758,, 마이펫 오지,Ozzy,"{'director': [{'directorNm': '알베르토 로드리게즈', 'directorEnNm': '', 'directorId': ''}]}","스페인,캐나다","{'plot': [{'plotLang': '한국어', 'plotText': '여느 강아지와 다름 없이 행복한 견생 라이프를 즐기고 있던 비글 오지.그러던 어느 날, 해외로 여행을 떠나게 된 가족들은 어쩔 수 없이 오지를 다른 곳에 맡기게 된다. 그곳은 바로 강아지들을 위한 럭셔리한 스파와 안마, 최고의 수제 간식, 친구들과의 즐거운 놀이시간, 예쁜 여자친구까지 보장된 최고급 애견 호텔! 인 줄 알았는데...?!그 곳에 숨겨진 비밀, 그리고 집으로 돌아가기 위한 ‘오지’와 친구들의 좌충우돌 모험과 우정!우리집 멍뭉이의 견생 최대 스펙터클 커밍홈 어드벤처가 시작된다!'}]}",89,전체관람가,"어드벤처,코메디",20170216,,http://file.koreafilm.or.kr/thm/02/00/04/36/tn_DPF013238.jpg|http://file.koreafilm.or.kr/thm/02/00/04/35/tn_DPF013167.jpg|http://file.koreafilm.or.kr/thm/02/00/04/36/tn_DPF013216.jpg|http://file.koreafilm.or.kr/thm/02/00/04/36/tn_DPF013213.jpg|http://file.koreafilm.or.kr/thm/02/00/04/36/tn_DPF013214.jpg|http://file.koreafilm.or.kr/thm/02/00/04/36/tn_DPF013215.jpg|http://file.koreafilm.or.kr/thm/02/00/04/35/tn_DPF013195.jpg|http://file.koreafilm.or.kr/thm/02/00/04/36/tn_DPF013212.jpg,,"{'vod': [{'vodClass': '예고편(1차)', 'vodUrl': 'https://www.kmdb.or.kr/db/kor/detail/movie/F/38758/own/videoData'}, {'vodClass': '예고편(메인)', 'vodUrl': 'https://www.kmdb.or.kr/db/kor/detail/movie/F/38758/own/videoData'}]}",
